epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
1,0.421616,0.443859,0.882880,0.875341,0.889733,0.867464,0.948093,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch1.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch1.png,313.802
2,0.407100,0.426753,0.903809,0.900679,0.899005,0.902658,0.957685,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch2.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch2.png,187.186
3,0.362331,0.411396,0.920215,0.917472,0.916332,0.918730,0.960224,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch3.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch3.png,186.985
4,0.348445,0.397451,0.926919,0.924280,0.923761,0.924820,0.964446,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch4.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch4.png,186.542
5,0.339507,0.389056,0.937259,0.934398,0.938363,0.931190,0.970284,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch5.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch5.png,185.755
6,0.344231,0.387140,0.938122,0.935599,0.937106,0.934226,0.974749,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch6.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch6.png,186.161
7,0.335866,0.390508,0.935509,0.933077,0.933195,0.932961,0.973472,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch7.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch7.png,186.084
8,0.351604,0.397435,0.924624,0.919646,0.936787,0.910184,0.972735,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch8.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch8.png,185.766
9,0.336976,0.380147,0.942758,0.939937,0.946085,0.935337,0.974253,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch9.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch9.png,187.071
10,0.352325,0.384471,0.942553,0.940606,0.939225,0.942150,0.970403,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch10.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch10.png,186.211
11,0.317164,0.376201,0.949461,0.947605,0.947314,0.947901,0.979782,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch11.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch11.png,186.828
12,0.307623,0.376649,0.942553,0.939262,0.950614,0.931959,0.981748,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch12.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch12.png,186.749
13,0.369743,0.372390,0.954938,0.952924,0.956551,0.949916,0.977278,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch13.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch13.png,186.703
14,0.337288,0.369421,0.954506,0.952381,0.957146,0.948604,0.981922,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch14.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch14.png,114.226
15,0.368880,0.371051,0.955233,0.953339,0.955681,0.951284,0.983989,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch15.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch15.png,99.510
16,0.332144,0.373027,0.949780,0.947935,0.947637,0.948240,0.978427,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch16.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch16.png,99.583
17,0.322852,0.369311,0.953438,0.951880,0.950307,0.953661,0.986310,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch17.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch17.png,125.435
