epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
1,1.469016,1.545894,0.955000,0.954804,0.955723,0.955349,0.994860,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch1.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch1.png,23.046
2,1.508418,1.485874,0.984700,0.984626,0.984788,0.984555,0.998405,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch2.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch2.png,8.365
3,1.493705,1.477521,0.987600,0.987482,0.987555,0.987539,0.998255,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch3.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch3.png,8.697
4,1.487973,1.479731,0.987800,0.987708,0.987857,0.987668,0.998527,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch4.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch4.png,8.392
5,1.489485,1.476590,0.990300,0.990160,0.990157,0.990237,0.999009,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch5.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch5.png,8.349
6,1.488103,1.480665,0.985900,0.985926,0.986286,0.985807,0.998032,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch6.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch6.png,8.424
7,1.489586,1.474913,0.989800,0.989801,0.990017,0.989647,0.998933,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch7.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch7.png,8.989
8,1.486400,1.474460,0.992600,0.992580,0.992616,0.992557,0.999012,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch8.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch8.png,8.508
9,1.487104,1.471940,0.993100,0.993020,0.993127,0.992939,0.999132,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch9.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch9.png,8.376
10,1.483085,1.476722,0.987700,0.987780,0.987972,0.987732,0.998074,/home/erensr/ERTECnet/output_mnist/cm_mnist/confusion_matrix_epoch10.png,/home/erensr/ERTECnet/output_mnist/roc_mnist/roc_epoch10.png,8.367
