epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
1,0.436536,0.610757,0.682650,0.657676,0.757913,0.682650,0.781258,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch1.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch1.png,213.132
2,0.437457,0.476031,0.846025,0.845098,0.854515,0.846025,0.920277,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch2.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch2.png,90.578
3,0.393265,0.569717,0.734125,0.719798,0.794323,0.734125,0.876281,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch3.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch3.png,90.283
4,0.398716,0.469349,0.847825,0.847612,0.849785,0.847825,0.918271,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch4.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch4.png,90.368
5,0.356970,0.467919,0.846450,0.845511,0.855080,0.846450,0.910999,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch5.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch5.png,90.501
6,0.406236,0.458482,0.857125,0.856672,0.861699,0.857125,0.924213,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch6.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch6.png,90.386
7,0.418782,0.439538,0.885550,0.885341,0.888383,0.885550,0.923000,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch7.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch7.png,90.335
8,0.376835,0.490106,0.826300,0.824696,0.838695,0.826300,0.899532,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch8.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch8.png,90.280
9,0.402114,0.439525,0.881050,0.880836,0.883810,0.881050,0.938398,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch9.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch9.png,90.375
10,0.331979,0.423592,0.899725,0.899690,0.900283,0.899725,0.946956,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch10.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch10.png,90.690
11,0.344924,0.423127,0.895775,0.895705,0.896842,0.895775,0.954594,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch11.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch11.png,90.341
12,0.388528,0.424410,0.899750,0.899478,0.904121,0.899750,0.951020,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch12.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch12.png,90.430
13,0.384711,0.403376,0.922600,0.922585,0.922918,0.922600,0.966394,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch13.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch13.png,90.374
14,0.356312,0.384514,0.941475,0.941453,0.942139,0.941475,0.978518,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch14.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch14.png,90.346
15,0.376421,0.390730,0.934175,0.934174,0.934201,0.934175,0.973275,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch15.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch15.png,90.149
16,0.359281,0.374863,0.941500,0.941494,0.941684,0.941500,0.971920,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch16.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch16.png,90.105
17,0.326830,0.391866,0.934925,0.934923,0.934966,0.934925,0.974305,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch17.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch17.png,90.316
