image_path,pred_label,prob_non_met,prob_stage4
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10017,y=36508,w=223,h=222].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10017,y=36730,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10017,y=36953,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10017,y=37176,w=223,h=222].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10017,y=37398,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10017,y=37621,w=223,h=222].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10017,y=37843,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10017,y=38066,w=223,h=223].tif",non_met,0.7144908308982849,0.28550922870635986
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10240,y=36285,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10240,y=36508,w=223,h=222].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10240,y=36730,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10240,y=36953,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10240,y=37176,w=223,h=222].tif",stage4,0.27247685194015503,0.727523148059845
"/home/erensr/tiles/160181740_HE/160181740_HE.vmic.svs - Series 0 [d=2.31884,x=10240,y=37398,w=223,h=223].tif",stage4,0.27247685194015503,0.727523148059845
